"Bank Prepayment","Transferência Bancária"
"Pay within X days","Pague no prazo de X dias"
"Please transfer the money within %s days to the following bank account","Por favor, transfira o dinheiro no prazo de %s dias para a seguinte conta bancária"
"Please transfer the money to the following bank account","Por favor, transfira o dinheiro para a seguinte conta bancária"
"Please transfer the money within %s days to one of the following bank accounts","Por favor, transfira o dinheiro no prazo de %s dias para uma das seguintes contas bancárias"
"Please transfer the money to one of the following bank accounts","Por favor, transfira o dinheiro para uma das seguintes contas bancárias"
"Account holder","Titular da conta"
"Bank name","Nome do banco"
"IBAN","IBAN"
"BIC","BIC"
"Account data for non SEPA countries","Informações da conta para países não-SEPA"
"Account number","Número da conta"
"Sort code","Código do banco"
"Account info","Informação da conta"
"Custom text","Texto personalizado"
"More information on this payment method can be found <a target=""_blank"" href=""%s"">here</a>.","Mais informações sobre este método de pagamento pode ser encontrada <a target="_blank" href="%s">aqui</a>."
"Bank Account holder","Titular da conta bancária"
"Bank Accounts","Contas bancárias"
"Add Bank Account","Adicionar conta bancária"
"Delete Account","Remover conta"
"Add your bank accounts data","Por favor, preencha os dados bancários!"
"Form CMS Page","Formulário página de CMS"
"Choose CMS page to display a link instead of the bank accounts in the payment form","Escolha a página CMS para exibir um link em vez de contas bancárias na forma de pagamento"
"Show bank accounts in PDF","Mostrar contas bancárias em PDF"
"Show custom text in PDF","Mostrar texto personalizado em PDF"
