"Bank Prepayment","Havale/EFT"
"Pay within X days","X günde ödeme bekleniyor"
"Please transfer the money within %s days to the following bank account","Lütfen aşağaki hesaba %s gün içinde ödeme yapınız. Aksi takdirde siparişiniz iptal edilecektir."
"Please transfer the money to the following bank account","Lütfen ödemeyi aşağıdaki hesaba yapınız."
"Please transfer the money within %s days to one of the following bank accounts","Lütfen aşağaki hesaplardan birine %s gün içinde ödeme yapınız. Aksi takdirde siparişiniz iptal edilecektir."
"Please transfer the money to one of the following bank accounts","Lütfen ödemeyi aşağıdaki hesaplardan birine yapınız."
"Account holder","Alıcı İsmi"
"Account number","Hesap Numarası"
"Account number1","Hesap Numarası"
"Sort code","Sıra Numarası"
"Bank name","Banka İsmi"
"For international transfers please use the following data","Uluslararası ödemeler için lüfen aşağıdaki bilgileri kullanın."
"IBAN","IBAN"
"BIC","BIC (Swift) Kodu"
"Account info","Hesap Bilgisi"
"International","Uluslararası"
"Custom text","Özel Açıklama"
"More information on this payment method can be found <a target=""_blank"" href=""%s"">here</a>.","Havale ile ödeme yöntemi hakkında ayrıntılı bilgi için <a target=""_blank"" href=""%s"">burayı tıklayın.</a>"
"Bank Account holder","Alıcı"
"Bank Account number","Banka Hesap Numarası"
"Bank Sort code","Banka Sıra Numarası"
"Bank Accounts","Banka Hesapları"
"Add Bank Account","Banka Hesabı Ekle"
"Delete Account","Hesabı Sil"
"Add your bank accounts data","Banka hesap bilgisi ekleyin"
"Form CMS Page","Formun Bulunacağı İçerik Sayfası"
"Choose CMS page to display a link instead of the bank accounts in the payment form","Ödeme formunda hesap bilgileri göstermek yerine istediğiniz içeriğe link vermek için bir sayfa seçin."
"Show bank accounts in PDF","Banka bilgilerini PDF'de göster"
"Show custom text in PDF","Girdiğiniz özel açıklamayı PDF dosyasında göster"
